,year,sid,scode,code,提示内容,townname,vname
0,2018,310151101024001H04401,3.044.01h,B121=240.0,B121购(建)房总金额越界,城桥镇,金珠居委会
1,2018,310151101024001H07801,3.078.01h,B121=170.0,B121购(建)房总金额越界,城桥镇,金珠居委会
2,2018,310151101027001H07501,5.075.01h,B124=100.0,B124购(建)房时借贷款总利息越界,城桥镇,江帆社区居委会
3,2018,310151101027001H06501,5.065.01h,B124=110.0,B124购(建)房时借贷款总利息越界,城桥镇,江帆社区居委会
4,2018,310151110208001H03601,23.036.01h,"B128=100.0,B130=11000.0",B130出租住房月租金越界,陈家镇,陈西村村委会
5,2018,310151112212001H02301,25.023.01h,B121=150.0,B121购(建)房总金额越界,港西镇,静南村村委会
6,2018,310151112212001H08001,25.080.01h,B121=242.0,B121购(建)房总金额越界,港西镇,静南村村委会
7,2018,310151112212001H01201,25.012.01h,B121=238.0,B121购(建)房总金额越界,港西镇,静南村村委会
8,2018,310151112212001H01601,25.016.01h,B121=198.0,B121购(建)房总金额越界,港西镇,静南村村委会
9,2018,310151112212001H00601,25.006.01h,B121=174.0,B121购(建)房总金额越界,港西镇,静南村村委会
10,2018,310151112212001H00801,25.008.01h,B121=242.0,B121购(建)房总金额越界,港西镇,静南村村委会
11,2018,310151112212001H00401,25.004.01h,B121=182.0,B121购(建)房总金额越界,港西镇,静南村村委会
12,2018,310151115002001H01501,29.015.01h,B121=42.0,B121购(建)房总金额越界,东平镇,风伟新村居委会
13,2018,310151201202001H05401,33.054.01h,B121=0.9,B121购(建)房总金额越界,新村乡,新卫村村委会
14,2018,310151201202001H07101,33.071.01h,B121=1.0,B121购(建)房总金额越界,新村乡,新卫村村委会
